         x       f(x)       g(x)
    -5.000      0.959      0.284
    -4.901      0.982      0.187
    -4.802      0.996      0.089
    -4.703      1.000     -0.009
    -4.604      0.994     -0.108
    -4.505      0.979     -0.206
    -4.406      0.953     -0.302
    -4.307      0.919     -0.394
    -4.208      0.875     -0.483
    -4.109      0.823     -0.568
    -4.010      0.763     -0.646
    -3.911      0.696     -0.718
    -3.812      0.621     -0.784
    -3.713      0.541     -0.841
    -3.614      0.455     -0.891
    -3.515      0.365     -0.931
    -3.416      0.271     -0.963
    -3.317      0.174     -0.985
    -3.218      0.076     -0.997
    -3.119     -0.023     -1.000
    -3.020     -0.121     -0.993
    -2.921     -0.219     -0.976
    -2.822     -0.314     -0.949
    -2.723     -0.407     -0.914
    -2.624     -0.495     -0.869
    -2.525     -0.578     -0.816
    -2.426     -0.656     -0.755
    -2.327     -0.728     -0.686
    -2.228     -0.792     -0.611
    -2.129     -0.848     -0.529
    -2.030     -0.897     -0.443
    -1.931     -0.936     -0.352
    -1.832     -0.966     -0.258
    -1.733     -0.987     -0.161
    -1.634     -0.998     -0.063
    -1.535     -0.999      0.036
    -1.436     -0.991      0.135
    -1.337     -0.973      0.232
    -1.238     -0.945      0.327
    -1.139     -0.908      0.419
    -1.040     -0.862      0.507
    -0.941     -0.808      0.589
    -0.842     -0.746      0.666
    -0.743     -0.676      0.737
    -0.644     -0.600      0.800
    -0.545     -0.518      0.855
    -0.446     -0.431      0.902
    -0.347     -0.340      0.941
    -0.248     -0.245      0.970
    -0.149     -0.148      0.989
    -0.050     -0.049      0.999
     0.050      0.049      0.999
     0.149      0.148      0.989
     0.248      0.245      0.970
     0.347      0.340      0.941
     0.446      0.431      0.902
     0.545      0.518      0.855
     0.644      0.600      0.800
     0.743      0.676      0.737
     0.842      0.746      0.666
     0.941      0.808      0.589
     1.040      0.862      0.507
     1.139      0.908      0.419
     1.238      0.945      0.327
     1.337      0.973      0.232
     1.436      0.991      0.135
     1.535      0.999      0.036
     1.634      0.998     -0.063
     1.733      0.987     -0.161
     1.832      0.966     -0.258
     1.931      0.936     -0.352
     2.030      0.897     -0.443
     2.129      0.848     -0.529
     2.228      0.792     -0.611
     2.327      0.728     -0.686
     2.426      0.656     -0.755
     2.525      0.578     -0.816
     2.624      0.495     -0.869
     2.723      0.407     -0.914
     2.822      0.314     -0.949
     2.921      0.219     -0.976
     3.020      0.121     -0.993
     3.119      0.023     -1.000
     3.218     -0.076     -0.997
     3.317     -0.174     -0.985
     3.416     -0.271     -0.963
     3.515     -0.365     -0.931
     3.614     -0.455     -0.891
     3.713     -0.541     -0.841
     3.812     -0.621     -0.784
     3.911     -0.696     -0.718
     4.010     -0.763     -0.646
     4.109     -0.823     -0.568
     4.208     -0.875     -0.483
     4.307     -0.919     -0.394
     4.406     -0.953     -0.302
     4.505     -0.979     -0.206
     4.604     -0.994     -0.108
     4.703     -1.000     -0.009
     4.802     -0.996      0.089
     4.901     -0.982      0.187
         x       f(x)       g(x)
    -5.000      0.959     -0.839
    -4.901      0.982     -0.930
    -4.802      0.996     -0.984
    -4.703      1.000     -1.000
    -4.604      0.994     -0.977
    -4.505      0.979     -0.915
    -4.406      0.953     -0.818
    -4.307      0.919     -0.689
    -4.208      0.875     -0.533
    -4.109      0.823     -0.356
    -4.010      0.763     -0.165
    -3.911      0.696      0.032
    -3.812      0.621      0.228
    -3.713      0.541      0.415
    -3.614      0.455      0.586
    -3.515      0.365      0.734
    -3.416      0.271      0.853
    -3.317      0.174      0.939
    -3.218      0.076      0.988
    -3.119     -0.023      0.999
    -3.020     -0.121      0.970
    -2.921     -0.219      0.904
    -2.822     -0.314      0.802
    -2.723     -0.407      0.669
    -2.624     -0.495      0.510
    -2.525     -0.578      0.331
    -2.426     -0.656      0.139
    -2.327     -0.728     -0.059
    -2.228     -0.792     -0.254
    -2.129     -0.848     -0.439
    -2.030     -0.897     -0.608
    -1.931     -0.936     -0.752
    -1.832     -0.966     -0.867
    -1.733     -0.987     -0.948
    -1.634     -0.998     -0.992
    -1.535     -0.999     -0.997
    -1.436     -0.991     -0.964
    -1.337     -0.973     -0.892
    -1.238     -0.945     -0.786
    -1.139     -0.908     -0.649
    -1.040     -0.862     -0.487
    -0.941     -0.808     -0.305
    -0.842     -0.746     -0.112
    -0.743     -0.676      0.086
    -0.644     -0.600      0.280
    -0.545     -0.518      0.463
    -0.446     -0.431      0.629
    -0.347     -0.340      0.769
    -0.248     -0.245      0.880
    -0.149     -0.148      0.956
    -0.050     -0.049      0.995
     0.050      0.049      0.995
     0.149      0.148      0.956
     0.248      0.245      0.880
     0.347      0.340      0.769
     0.446      0.431      0.629
     0.545      0.518      0.463
     0.644      0.600      0.280
     0.743      0.676      0.086
     0.842      0.746     -0.112
     0.941      0.808     -0.305
     1.040      0.862     -0.487
     1.139      0.908     -0.649
     1.238      0.945     -0.786
     1.337      0.973     -0.892
     1.436      0.991     -0.964
     1.535      0.999     -0.997
     1.634      0.998     -0.992
     1.733      0.987     -0.948
     1.832      0.966     -0.867
     1.931      0.936     -0.752
     2.030      0.897     -0.608
     2.129      0.848     -0.439
     2.228      0.792     -0.254
     2.327      0.728     -0.059
     2.426      0.656      0.139
     2.525      0.578      0.331
     2.624      0.495      0.510
     2.723      0.407      0.669
     2.822      0.314      0.802
     2.921      0.219      0.904
     3.020      0.121      0.970
     3.119      0.023      0.999
     3.218     -0.076      0.988
     3.317     -0.174      0.939
     3.416     -0.271      0.853
     3.515     -0.365      0.734
     3.614     -0.455      0.586
     3.713     -0.541      0.415
     3.812     -0.621      0.228
     3.911     -0.696      0.032
     4.010     -0.763     -0.165
     4.109     -0.823     -0.356
     4.208     -0.875     -0.533
     4.307     -0.919     -0.689
     4.406     -0.953     -0.818
     4.505     -0.979     -0.915
     4.604     -0.994     -0.977
     4.703     -1.000     -1.000
     4.802     -0.996     -0.984
     4.901     -0.982     -0.930
         x       f(x)       g(x)
    -5.000      0.959     -0.760
    -4.901      0.982     -0.536
    -4.802      0.996     -0.266
    -4.703      1.000      0.028
    -4.604      0.994      0.320
    -4.505      0.979      0.583
    -4.406      0.953      0.795
    -4.307      0.919      0.938
    -4.208      0.875      0.998
    -4.109      0.823      0.971
    -4.010      0.763      0.859
    -3.911      0.696      0.672
    -3.812      0.621      0.426
    -3.713      0.541      0.143
    -3.614      0.455     -0.153
    -3.515      0.365     -0.436
    -3.416      0.271     -0.680
    -3.317      0.174     -0.865
    -3.218      0.076     -0.974
    -3.119     -0.023     -0.998
    -3.020     -0.121     -0.934
    -2.921     -0.219     -0.789
    -2.822     -0.314     -0.574
    -2.723     -0.407     -0.309
    -2.624     -0.495     -0.017
    -2.525     -0.578      0.276
    -2.426     -0.656      0.545
    -2.327     -0.728      0.767
    -2.228     -0.792      0.921
    -2.129     -0.848      0.995
    -2.030     -0.897      0.981
    -1.931     -0.936      0.882
    -1.832     -0.966      0.705
    -1.733     -0.987      0.467
    -1.634     -0.998      0.187
    -1.535     -0.999     -0.108
    -1.436     -0.991     -0.394
    -1.337     -0.973     -0.646
    -1.238     -0.945     -0.841
    -1.139     -0.908     -0.963
    -1.040     -0.862     -1.000
    -0.941     -0.808     -0.949
    -0.842     -0.746     -0.816
    -0.743     -0.676     -0.611
    -0.644     -0.600     -0.352
